student_id,student_name,department,program,batch,section,academic_year,current_semester
S0001,Gayathri Chaudry,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0002,Lajita Chatterjee,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0003,Hemangini Lalla,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0004,Tripti Yadav,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0005,Kritika Brar,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0006,Janaki Handa,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0007,Chakradev Kari,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0008,Fariq Kaul,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0009,Lajita Mall,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0010,Janya Gaba,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0011,Isha Kadakia,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0012,Ekbal Garg,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0013,Nihal Shere,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0014,Anamika Kanda,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0015,Daksh Karnik,DEPT_CSE,B.Tech,2023,A,2025-26,5
S0016,Diya Rattan,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0017,Dominic Kakar,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0018,Simon Tata,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0019,Tara Dhar,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0020,Liam Koshy,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0021,Priya Rastogi,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0022,Theodore Devi,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0023,Gavin Batta,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0024,Michael Dutta,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0025,Devansh Rajan,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0026,Upadhriti Wadhwa,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0027,Advay Contractor,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0028,Harini Choudhury,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0029,Radhika Dugar,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0030,Aarush Lall,DEPT_CSE,B.Tech,2023,B,2025-26,5
S0031,Yashica Cherian,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0032,Yashica Issac,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0033,Kashvi Edwin,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0034,Ekiya Suresh,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0035,Isaac Patil,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0036,Wriddhish Bhardwaj,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0037,Farhan Chada,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0038,Ekapad Walia,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0039,Kabir Soman,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0040,Alka Wable,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0041,Siddharth Zacharia,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0042,Devika Rastogi,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0043,Raksha Varughese,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0044,Jai Kota,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0045,Devansh Nigam,DEPT_ECE,B.Tech,2023,A,2025-26,5
S0046,Victor Kannan,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0047,Ekavir Bhargava,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0048,Ekansh Balay,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0049,Ekavir Varkey,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0050,Arya Sunder,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0051,Kevin Solanki,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0052,Urvashi Ray,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0053,Girindra Chatterjee,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0054,Irya Sampath,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0055,Unni Bhagat,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0056,Darsh Rau,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0057,Ikbal Kothari,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0058,Ranveer Yadav,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0059,Logan Sami,DEPT_ECE,B.Tech,2023,B,2025-26,5
S0060,Arya Shere,DEPT_ECE,B.Tech,2023,B,2025-26,5
